CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1555.86,1556.24,1556.400000,2.07000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,1.96000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,2.59000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,2.31000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,2.44000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,2.12000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,1.83000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,1.72000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,1.60000000,closeByStopLossProfitable,sell
1555.86,1556.24,1556.400000,1.57000000,closeByStopLossProfitable,sell
1557.09,1557.42,1557.570000,-1.50000000,closeByStopLossNonProfitable,sell
1555.68,1554.93,1555.080000,-1.05000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.49000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.39000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.29000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.30000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.39000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.31000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.32000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.37000000,closeByStopLossNonProfitable,buy
1555.68,1554.93,1555.080000,-1.38000000,closeByStopLossNonProfitable,buy
1555.07,1554.94,1555.110000,-0.93000000,closeByStopLossNonProfitable,buy
1555.07,1554.94,1555.110000,-1.50000000,closeByStopLossNonProfitable,buy
1555.07,1554.94,1555.110000,-1.90000000,closeByStopLossNonProfitable,buy
1555.07,1554.94,1555.110000,-0.98000000,closeByStopLossNonProfitable,buy
1555.07,1554.94,1555.110000,-1.20000000,closeByStopLossNonProfitable,buy
1555.07,1554.94,1555.110000,-1.08000000,closeByStopLossNonProfitable,buy
1556.4,1557.47,1557.630000,-1.23000000,closeByStopLossNonProfitable,sell
1556.99,1557.35,1557.490000,-2.15000000,closeByStopLossNonProfitable,sell
1556.99,1557.35,1557.490000,-2.46000000,closeByStopLossNonProfitable,sell
1556.99,1557.35,1557.490000,-2.46000000,closeByStopLossNonProfitable,sell
1556.99,1557.35,1557.490000,-2.51000000,closeByStopLossNonProfitable,sell
1556.99,1557.39,1557.530000,-2.51000000,closeByStopLossNonProfitable,sell
1556.99,1557.39,1557.530000,-2.44000000,closeByStopLossNonProfitable,sell
1556.99,1557.39,1557.530000,-2.14000000,closeByStopLossNonProfitable,sell
1556.99,1557.39,1557.530000,-2.27000000,closeByStopLossNonProfitable,sell
1556.99,1557.43,1557.570000,-2.54000000,closeByStopLossNonProfitable,sell
1557.92,1557.98,1558.160000,-1.44000000,closeByStopLossNonProfitable,sell
1558.48,1558.58,1558.740000,-0.99000000,closeByStopLossNonProfitable,sell
1558.28,1558.18,1558.380000,1.31000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,1.25000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,1.16000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.88000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.75000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.58000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.50000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.38000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.29000000,closeByStopLossProfitable,buy
1558.28,1558.18,1558.380000,0.56000000,closeByStopLossProfitable,buy
1558.77,1558.77,1559.340000,-0.96000000,closeByStopLossNonProfitable,sell
1557.15,1557.01,1557.080000,-4.33000000,closeByStopLossNonProfitable,buy
1557.15,1556.95,1557.020000,-3.96000000,closeByStopLossNonProfitable,buy
1557.15,1556.95,1557.020000,-4.65000000,closeByStopLossNonProfitable,buy
1557.15,1556.9,1556.970000,-4.56000000,closeByStopLossNonProfitable,buy
1557.15,1556.84,1556.910000,-3.74000000,closeByStopLossNonProfitable,buy
1557.15,1556.84,1556.910000,-4.01000000,closeByStopLossNonProfitable,buy
1557.15,1556.84,1556.910000,-3.88000000,closeByStopLossNonProfitable,buy
1557.15,1556.78,1556.850000,-3.89000000,closeByStopLossNonProfitable,buy
1557.15,1556.72,1556.790000,-4.02000000,closeByStopLossNonProfitable,buy
1557.15,1556.66,1556.730000,-3.98000000,closeByStopLossNonProfitable,buy
1559.07,1559.22,1559.380000,-0.53000000,closeByStopLossNonProfitable,sell
1559.07,1559.22,1559.380000,-0.68000000,closeByStopLossNonProfitable,sell
1559.19,1559.25,1559.430000,0.21000000,closeByStopLossProfitable,sell
1559.19,1559.25,1559.430000,0.03000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,4.30000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,4.92000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.36000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.72000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.16000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.04000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.45000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.43000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,3.25000000,closeByStopLossProfitable,sell
1554.6,1554.83,1554.980000,2.90000000,closeByStopLossProfitable,sell
